asin,1,2,3,4,5,6,7,8,9,10
0783234066,0783234066,078322995X,0767830520,0788806270,0780625129,078881172X,0790729350,0788812408,0788812807,0783221487
078323418X,078323418X,0790729709,078322706X,0780628799,0788814664,0767802624,0790729652,0767849493,0788821075,0784010218
0783235666,0783235666,0783221088,0780630459,0790729385,0780022181,0790729636,0780022300,0788814664,078062565X,0788882988
0783237979,0783237979,0790729717,0788832182,0783221487,0782002064,0767809254,0767825411,0790729652,0310263662,0767819586
0783239408,0783239408,0788814664,0780625129,0790729385,0783241542,076780192X,0767805267,0788806270,0783225970,078322544X
0783240171,0783240171,0767811100,0767805712,0783227507,0783240694,0790729717,0788806270,0790729725,0767819586,0783225849
0783240287,0783240287,078322544X,0780627024,0790729385,0782002064,0790729660,0767849493,0784010218,0790729652,0790725657
0783240694,0783240694,0767805712,0767809246,078322544X,0767819586,0783241542,078322687X,0783240171,0784010218,0783227361
0783241038,0783241038,0780628799,0767834739,0780607287,0783116926,0783226152,0790729636,078323418X,0790729385,0783229526
0783241542,0783241542,0780618556,0788821075,0784010218,0767802624,0783229526,0783239408,0783243499,0780626478,0780628799
0783241569,0783241569,0767849493,0783226152,0780622545,0783221088,0783216084,0788814664,0767819586,0783243499,0767805267
0783243499,0783243499,0767811100,0767809254,0783241542,0767802470,0790729393,0780622545,0783241569,0780626478,0790729687
0784001847,0784001847,076781505X,0780623134,0783227434,0788860704,0767802624,0767802594,0783221088,078322995X,0767819586
0784010188,0784010188,0784011923,0767834739,0784010315,0767849493,0783225970,0783107986,0782008372,0767802624,0780020685
0784010218,0784010218,0783241542,0790729709,0788821075,0788814664,078322706X,078323418X,0767802624,0790729652,0783233493
0784010315,0784010315,0767830520,0767802519,0780628799,0790729725,0780631153,0784010188,0790701022,0783221088,0783241542
0784011796,0784011796,0780621980,0767811100,0780020685,0767802470,0780631153,0780022181,0780622545,0767802519,0767805712
0784011923,0784011923,0767802624,0783225792,0784010188,0767802659,0790729652,0790729644,0767813871,0782008372,0767825411
0784012822,0784012822,0783225199,0790729393,0788867164,0780631153,0780622545,0788861948,0784011796,0790701022,0767802659
0788802194,0788802194,0788812807,0788828126,0780022300,0783228015,0788812408,0788806270,0788814664,0788882988,078881172X
0788806270,0788806270,0767830520,0783222955,0788812807,0783225199,0790701251,0782002064,0783239408,0767836324,0767802624
078881107X,078881107X,0767834739,0780607287,0790701022,0790729385,0790729636,0783241038,0310263662,0783227434,0783229526
078881172X,078881172X,0767830520,0788812408,0788828126,0767811100,0783211856,0780626478,0780625129,0783227361,0767802624
0788812408,0788812408,0788802194,0788812807,078881172X,0788806270,0767802624,0780630459,0788828126,0767809246,0767836324
0788812807,0788812807,0788802194,0788806270,0767802624,0788812408,0767836324,0767809246,0767811100,0783227361,0783222734
0788814664,0788814664,0783239408,0788821075,0790729709,078322706X,078323418X,0767849493,0784010218,0767802624,0783235666
0788821075,0788821075,0788814664,0783241542,0767849493,078322706X,0767802624,0784010218,0790729652,078323418X,0790729709
0788828126,0788828126,0788802194,0788806270,078881172X,0767830520,0767726227,078062565X,0788812408,0783235666,0780628799
0788832182,0788832182,0767813871,0782002064,0767802594,0790729687,0783227361,0767809254,0788821075,078886047X,0767819586
078886047X,078886047X,0780020685,0767726227,0782002064,078322544X,0783216084,0788882988,0783239408,0784011923,0788832182
0788860704,0788860704,0767836324,0767809254,0783211856,0783239408,0783235666,0767805267,0767834739,0783225970,0783229526
0788861948,0788861948,0788867164,0767834739,0784012822,0783226160,0788860704,0767811100,0780626966,0310263662,0767819586
0788867164,0788867164,0788861948,0784012822,0767834739,0767805267,078322706X,0783221088,0310263662,0784010218,0784011796
0788882988,0788882988,0783235666,0767809246,0790701022,0780630459,0780623134,0790729636,0780022300,0783221088,0780631153
0790701022,0790701022,0767809246,0783225792,0780022181,0790729628,0783225881,0767805712,0788882988,0784010315,0790705141
0790701251,0790701251,0790729644,0790729385,0790705141,0767805712,0790729636,0783235666,0788806270,0767802470,0783225792
0790705141,0790705141,0767811100,0790729385,0790701251,0783216084,0783221088,0783116926,0767830520,078322687X,0788814664
079070546X,079070546X,076780192X,0780651359,0783228015,0767853636,0767849493,0780622545,0767802594,0780625129,0783243499
0790720434,0790720434,0783226152,0767812778,0790725657,0783241038,0767805267,0767830520,078881172X,0783235666,0780625129
0790725657,0790725657,0310263662,0790720434,0783240694,0767830520,0780618556,0767809246,078881172X,078322544X,0767819586
0790729350,0790729350,0767830520,0780625129,0783222955,0790701251,0788806270,0780651359,0780622545,0782002064,0783225881
0790729385,0790729385,0767811100,0767849493,076780192X,0783235666,0790701251,0790705141,0783239408,0767809246,0788814664
0790729393,0790729393,0767809254,0780621980,0783243499,0783225792,0783227361,0310263662,0784012822,0790701022,0784010188
0790729628,0790729628,076780192X,0790701022,0780020685,0790729725,0780622545,0767825411,0780623134,0767805712,0767830520
0790729636,0790729636,0780630459,0767849493,0783235666,0790729652,0767802519,0783227507,0790701251,076781505X,0783225970
0790729644,0790729644,0790701251,0780629450,0767802470,0783233493,0783225792,0780631153,0783235666,0767830520,078062565X
0790729652,0790729652,078323418X,0788821075,0767802624,0783225792,0780651359,0790729636,0767849493,0784010218,0783226160
0790729660,0790729660,0780628799,0767805712,0783225792,0767802519,0780623746,0790729687,0780622545,0783239408,0783225970
0790729687,0790729687,076780192X,0780020685,0767813871,0767802594,0783227434,0780651359,0783227361,0780623746,0788832182
0790729709,0790729709,0767849493,078322706X,078323418X,0788814664,0767802624,0784010218,0788821075,0783233493,0780628799
0790729717,0790729717,0783211856,0790701251,0783225970,0780622545,076781505X,0767825411,0783240171,0790729628,0783237979
0790729725,0790729725,0767830520,0783225792,0780623134,076780192X,0784010315,0780626478,0790729628,0783225970,0767834739
