asin,1,2,3,4,5,6,7,8,9,10
076780161X,076780161X,0764001035,0780018664,0767817443,0783222149,0767819438,0780022491,0764006770,0783226551,076780192X
076780192X,076780192X,0767811070,0764006770,0780623134,0782008348,0780630904,0790729342,078401115X,0790729687,0767817656
0767802470,0767802470,0767802551,0783226764,0783225997,0783221088,0780020685,0783215126,0790729644,0784010528,078322995X
0767802497,0767802497,0780613880,0782008364,076783917X,0780630904,0767819462,0790729652,078201061X,0790729709,0780630866
0767802519,0767802519,0783225725,0783224079,0780628799,0784011524,0783241313,0784010315,0790729636,0767809270,0780626702
0767802535,0767802535,0767816234,0790729377,0783226764,0767817680,0783227833,078401003X,0782010679,0780631153,0784011176
0767802551,0767802551,0783240961,0780625129,078321958X,0767802470,0767805267,0783225997,0783229585,0767805712,0780627806
0767802594,0767802594,0784011524,0788809806,0783223609,0780626702,0767821920,0767835069,0767809270,0767812166,0767813871
0767802624,0767802624,0783219458,0783241607,0767816234,0783227833,0780613880,0783237367,0780626702,0783227256,0767819462
0767802659,0767802659,0767811100,0767802624,0783237367,0780620003,0767802683,0767824571,0784011923,0783221487,0783222734
0767802683,0767802683,0767832248,0767809270,0780626478,078322687X,0767811100,0784011524,0783113943,0780628799,0788809806
0767802772,0767802772,0780619439,0780618068,078322544X,0783225792,0767827929,0780622537,0783229356,0764006770,076780161X
0767802802,0767802802,0780021932,0783235690,0780020731,0780613880,0767809270,0780626702,0767836286,0764005553,0783107986
0767803434,0767803434,0767809270,0780613880,0780020731,0788821075,0783226551,0783235690,078401115X,0767821920,0788814958
0767805267,0767805267,0783240961,078321958X,0767802551,0783225814,0783219598,0783225997,0790728354,0767824555,0780631684
0767805712,0767805712,0783231032,0780626702,0780631528,0783225482,0780619765,0767824571,076780922X,0780020715,0784011176
0767806239,0767806239,0767832248,0767835069,0767809270,0767819594,0767802683,0780626478,0782006787,078401020X,0780620003
076780676X,076780676X,0780619765,0767805712,0767827813,0780631528,0783227884,0783240694,0767825616,0784010218,0767827716
0767806808,0767806808,0780628799,0783241593,0780628519,0783239408,0767812166,0783208227,0788815466,0783241607,0767827007
0767808673,0767808673,0767811100,0788860704,0767825616,0767811070,0783227388,0767816617,0783240287,0790729709,0784011524
076780922X,076780922X,0767809262,0780626702,078322706X,0767812417,0767811100,0783221088,0767805712,0783227833,0783231032
0767809246,0767809246,0782008364,0780619412,0783225792,0780626702,0767811070,0783225997,0783227361,0780023420,0783227833
0767809254,0767809254,0767812182,0767821785,0767821556,0767827007,0783114885,0783223609,0767835069,0783227647,078062856X
0767809262,0767809262,076780922X,0780621611,0780626702,0783216084,0767812417,078322172X,0780614097,078322706X,0783113145
0767809270,0767809270,0767832248,0780613880,0780020731,0767803434,0783235690,0780626478,0767802683,0788814958,0780628799
0767809335,0767809335,0783226152,0783221487,0783230095,0783227949,0767821785,0767819446,0782009980,0783229526,0782008380
0767809688,0767809688,0784011540,0767827902,0782006787,0783116934,0767830520,0790729644,0782010059,0783229585,0783234287
0767810864,0767810864,0780621832,0767832248,0783230478,0767821556,0784011710,0780022319,0783234287,0782010059,0767830520
0767811070,0767811070,0764006770,0782008348,076780192X,0767849981,0783227434,0783234287,0790729342,0767827007,0780630866
0767811097,0767811097,0780630904,0767817656,0790729687,0780630874,0784011168,0783219172,0783229887,078062856X,0784011524
0767811100,0767811100,0767835093,0767816617,0784013470,0767802683,0783227388,0767825616,0782008364,0780626478,0783219458
0767812131,0767812131,0783219458,0784011540,0782008372,0783241038,0784012717,0780022300,0788812467,0767817680,0784018235
0767812166,0767812166,0780626702,0767825616,0767824555,0784011524,0780023420,0788809806,0783223609,0783227361,0767821920
0767812182,0767812182,0767821785,0767821556,0767809254,0767827007,0780651359,0783114885,078062856X,0780631684,0783225768
0767812387,0767812387,0783231210,0767826728,0767819438,0790729601,078062369X,078322365X,0767816234,078323418X,0767833902
0767812417,0767812417,0780023420,076780922X,0783227949,0783227256,078322706X,0767809262,0783230435,0783221088,0783226837
0767812778,0767812778,0784012644,0783229674,0782006809,0783114893,0780622383,0783233582,0783226152,0783219695,0767834739
0767813871,0767813871,0784011524,0788809806,0783223609,0780626702,0767821920,0767835069,0767825616,0767812166,0767802594
0767814037,0767814037,0767023765,0782008364,076783917X,0784011524,0790729652,079072961X,0767827716,0783233582,078324021X
076781505X,076781505X,0783225725,0784001847,0788811002,0783241313,0790729636,0780623134,0784011176,0783226799,0780628551
0767815335,0767815335,0780618548,0767819594,0784010315,0780622642,0767817729,0783227256,0783241917,0783227388,0790729709
0767815963,0767815963,0780630858,0780627806,0780630904,0767817478,0767819764,0767827651,078401115X,078323502X,0767821408
0767816234,0767816234,0783241542,0782008364,0767819462,0780619552,0767802535,0767802624,0780631684,0767802497,0784011168
0767816617,0767816617,0767811100,0780628519,0783227388,0767825616,0767835093,0788869973,0783217048,0767827902,0783227884
0767817443,0767817443,0767819438,076780161X,0783114885,078322592X,0780622642,0783223358,0783227833,0783226985,0783226551
0767817478,0767817478,0780621964,0780630904,0783223358,0784011524,0783241593,0767802497,0790728354,0783243456,0783231210
0767817486,0767817486,0783201672,0767835069,0783226039,0788815466,0767809270,0767811097,0783230435,0780630904,0783237413
0767817656,0767817656,0780630904,0783229887,0780630874,0783219172,0767811097,0783225768,0780631684,0764006770,0783214243
0767817664,0767817664,0767827902,0764006770,0783237413,0783234287,0767830520,0780630874,0783114893,078322592X,0782010059
0767817680,0767817680,0780618548,0780628519,0767812182,0767821785,0783226985,078322995X,0767836324,0780020685,0767819438
0767817710,0767817710,0767849493,0783204914,0783201672,0790729601,0783226543,0767835093,0767836324,0783226004,0767802497
0767817729,0767817729,0780618548,0767819594,0767815335,0790729709,0780620003,0767826728,0783240295,0783240171,0783225504
0767817753,0767817753,0767812182,0767830520,0767821785,0767849493,0767821556,0767809254,0783227078,0783114885,0783227256
0767819179,0767819179,0790729369,0784011648,0767835069,0783233469,0783233493,0769403468,0780614097,0783114893,0788812807
0767819438,0767819438,0767826728,0780628519,0767817443,0780618548,0783240295,078322933X,0783226985,0780623711,0780619412
0767819446,0767819446,0767809270,0780622537,0783225970,0784011176,0767809335,0767802519,0780628551,0784011796,0788869973
0767819462,0767819462,0782008364,0780613880,0767802497,0780626478,0767816234,0780631641,0780622537,0783225482,0783241542
076781956X,076781956X,0767853946,0783117388,0780621980,0783229887,078324021X,0784012148,0767835093,0780628799,078322365X
0767819586,0767819586,0767832248,0767809270,0780628799,0780626478,0767825616,078322687X,0767802683,0783201672,0780631528
0767819594,0767819594,0780618548,0767815335,0767817729,0767826728,0790729709,0783241569,0780620003,0767806239,0788861948
0767819764,0767819764,0782006787,078321958X,0780022181,0783229526,0780020731,0790729652,0784011176,0767817486,0783235593
0767821408,0767821408,0788860704,0783208227,0783241593,0767839129,0780022181,0780627717,078886047X,0783232063,0783229674
0767821556,0767821556,0780621832,0767812182,0783230478,0767821785,0788811207,0767809254,0767827007,0783114885,0780631684
0767821785,0767821785,0767812182,0767821556,0767809254,0784011168,0767827007,0783114885,0783223218,078062856X,0780631684
0767821920,0767821920,0788809806,0784011524,0783223609,0780626702,0767803434,0767835069,0790729687,0783240295,0767809270
0767823729,0767823729,0783226551,078401115X,0767803434,0783241569,0783229585,078062369X,076783917X,0767808673,0790729369
0767824407,0767824407,0780620003,0780622545,0783211856,0783222955,0310263662,0767805267,0767802519,0767803434,0780018664
0767824555,0767824555,0767812166,0780022300,078324021X,0783225814,0767817664,0767805267,0783235666,0783233515,0784010528
0767824571,0767824571,0767805712,0780626702,0782002064,0783227833,076780922X,0767827740,0767802659,0783231032,0780625129
0767825411,0767825411,0767811070,0764006770,0783234287,0780619552,0782008348,0780621964,0783227434,076780192X,0780622383
0767825616,0767825616,0780626702,0790729369,0783241593,0767812166,0784011524,0767811100,0767836286,0788809806,0767816617
0767826728,0767826728,0767819438,0780628519,0780618548,0783229887,0780630904,0767819594,0783227434,0780623711,0788816454
0767827007,0767827007,0767812182,0767853946,0767821556,0783226004,0783214243,0767821785,0767811070,0767809254,0783114885
0767827651,0767827651,0783231032,0780023420,0767825616,0767812166,0783240694,0780626702,0780622588,0780628519,078322544X
0767827678,0767827678,079072961X,0783114885,0780651359,0788858408,0780622545,0783225881,0767821920,0790729687,0784011206
0767827716,0767827716,0764006770,0767811070,0783235623,0780626702,0780618068,0767817656,0780622537,079072961X,0784011923
0767827740,0767827740,0783227833,0780626702,0780622642,076780922X,0767805712,0783231032,0767802624,0783219598,0780625129
0767827775,0767827775,0780631641,0780020731,0780020685,0783236352,0767851013,078060718X,0767002652,0767812778,0767827902
0767827791,0767827791,0767821556,0767812182,0767821785,0767809254,0780631684,0788811207,0767827007,0783114885,0790729369
0767827813,0767827813,0790720434,0788811207,0764007211,0783227884,076780676X,079072961X,0780651359,0783227507,0790729709
0767827902,0767827902,0767830520,0782010059,078322592X,0788806270,0783222955,0780631641,0783234287,0783245157,0783240953
0767827929,0767827929,0783226799,0790729644,0767802772,0767835980,0780625129,078401115X,0780620003,0783227361,0767811070
0767830520,0767830520,0767827902,0782010059,0780621832,0783230478,0783234287,0784010315,0767821556,0783222955,0790729725
0767832248,0767832248,0767809270,0780626478,0767802683,0783201672,0767836359,0767819586,0780628799,078322687X,0767806239
0767833902,0767833902,0783243456,0780630874,0767817656,0780630866,0780630904,0788816454,0767826728,0780630858,0767819438
0767834739,0767834739,0767826728,0780621964,0784012644,0783229887,0780623711,0783227507,0780619552,0780619250,0783241917
0767834860,0767834860,0788869973,0783227094,0780628551,0767839129,0780631153,0780621964,0784011168,0780619609,0780607287
0767835069,0767835069,0783227647,0784011524,0767806239,0788809806,0784011648,0780621611,0783223609,0767809254,0767821920
0767835093,0767835093,0784013470,0767811100,0790729601,0780628519,0784011206,0783233515,0767816617,0783237413,0767835980
0767835980,0767835980,0783241313,0780628519,0767835093,0780631528,0780625129,0782008364,0767827929,0784013470,0783241542
0767836286,0767836286,0780626702,0767825616,0784011524,0783235690,0788809806,0767802802,0783223609,0764005553,0767821920
0767836316,0767836316,0783234996,0783233493,0780622642,0783228457,0767736680,0780656946,0783113196,0790729652,0780625129
0767836324,0767836324,0780618548,0780628519,0767839277,0783226985,0767817680,078322995X,0767819438,0783240295,0790729369
0767836359,0767836359,0767832248,0767809270,0780626478,0767802683,0790729393,0780628799,0767819586,0783201672,078322687X
076783822X,076783822X,0783231474,0738920762,0788832182,0788828126,0790729725,0780618831,0780618556,0780618548,0780618068
0767839129,0767839129,0767811070,0764006770,0780625129,0767802497,0780628551,0783241569,0783226551,0767849493,078401115X
0767839145,0767839145,0780023420,0790729385,0780626702,0767812166,0767825616,0783226764,0783240961,0780628519,0783240694
076783917X,076783917X,078201061X,0767802497,0784011176,0783226551,078401115X,0783225849,0790729652,0767803434,0780631684
0767839277,0767839277,078322933X,0780020715,0783241593,0767836324,0764006770,0783241542,0782008348,0783241917,0783229526
0767847563,0767847563,0783229585,0783230508,0784012644,0783240953,0782008348,0780622545,078322947X,0783116934,0767817753
0767849493,0767849493,0780618548,0780628519,0783241593,0783226985,0780020685,0767811070,0790729709,0764006770,0783240295
0767849981,0767849981,0767811070,0764006770,0782008348,0783219857,076780192X,0783234287,0783227434,0767827716,0790729342
0767851013,0767851013,0788809806,0773343032,0784011524,0767003357,0764005553,0767802683,0783223609,0780626702,0780618556
0767851668,0767851668,078324021X,0780023420,0780623614,0767853946,0767802683,0784010528,0783240694,0780627024,0767825616
0767853636,0767853636,0780656946,0783225504,079070546X,0767849493,0783219172,0767812417,0788809806,0788816454,0783234996
0767853946,0767853946,0767827007,0767811070,076781956X,0783214243,0783117388,0780621980,078401020X,0767812182,0780623711
0769403468,0769403468,0764006770,0767810864,0767819179,0780021967,0780020723,0783225725,0780020715,0767802470,0767827902
0773343032,0773343032,0767851013,0767003357,0783114907,0783240171,0767817680,0767020308,0767802802,0783241399,0767811097
0773386777,0773386777,0780622383,0780630904,0767826728,0783229887,0783227434,0788809806,0783227507,0764005553,0310263662
0780018664,0780018664,0780022491,076780161X,0780626702,0783227507,0767827902,0780022343,0790729377,0767830520,0783230435
0780020685,0780020685,0780628519,0783226985,0783240295,0767849493,0780618548,0767811070,0764006770,0767817680,0783227256
0780020715,0780020715,078322933X,0767839277,0783241593,0764006770,0767805712,0783241542,0783229526,0783241917,0788869973
0780020723,0780020723,0783245157,0780021967,0783211856,0783219598,0782006760,0783243499,0783226837,0783240961,0783236352
0780020731,0780020731,0780613880,0767809270,0783235690,0788814958,0780022491,0783236352,0767803434,0790729377,0780021932
0780020847,0780020847,0780023420,0784012717,0783226764,078323502X,0780626702,0783227361,0780018664,0780022491,0767812166
0780021932,0780021932,0767802802,0780020731,0783107986,0780022491,0790729377,078323502X,0783236352,078062565X,0782008348
0780021967,0780021967,0780020723,0782006795,0783235623,0783227647,0780020731,0783236352,0767835069,0783225997,0780021932
0780022181,0780022181,0780023420,0780020731,0783229526,0783235666,0783236352,0767826728,078323502X,0780021932,0767830520
0780022300,0780022300,0767824555,0783228015,0783235666,0788802194,0767812166,076783917X,0783235690,0780021967,0783227647
0780022319,0780022319,0780621832,0783230478,0767821556,0783227884,0767810864,0783230508,0783234287,0782010059,0767830520
0780022343,0780022343,0780626702,0780018664,0780022491,0783227833,0780020685,0783237413,0783113943,0783114907,0780020731
0780022491,0780022491,0780018664,0780621832,0780020731,0783227256,0784011176,0780021932,0788811355,0788860704,0790729377
0780023420,0780023420,0783227949,0783201672,0767812417,0780626702,0767812166,0783236352,0783240961,0780022181,0783226764
078060718X,078060718X,0783227949,0780619609,0780656946,0783227434,078401020X,078323502X,0780621964,0784011540,0783237413
0780607287,0780607287,0780619609,0780623711,0788816454,0767826728,0780619552,078062565X,079072880X,0783225814,0780621964
0780608372,0780608372,0790729687,0767802802,0780613880,0790729709,0783227256,0783227078,078322706X,0767802497,0788814664
0780613880,0780613880,0780020731,0767809270,0783225482,0783235690,0782008364,0767802497,0788814958,0767819462,0767803434
0780614097,0780614097,0782006787,0767809262,0780621611,0783216084,0780626702,078322172X,0783113145,0783229674,0788861948
0780618068,0780618068,0780619439,0783225199,0767827716,0783229526,0767802772,0784012822,0780619765,0767805712,0783241607
0780618548,0780618548,0767819594,0783240295,0767815335,0767817729,0780628519,0767849493,0783226985,0767826728,078322995X
0780618556,0780618556,0783241542,0783219458,0767805712,0780651359,0767851013,0780630858,0767836324,0783227388,0783233515
0780618831,0780618831,0780630459,0718000315,0783240953,0767023765,0780627806,079072880X,0783225997,0767827007,0783235666
0780619250,0780619250,0783229585,0783229887,0783226152,0783227507,0783219857,0767834739,0767835093,0767816617,078322172X
0780619412,0780619412,0780630866,0780630858,0767809246,0780630904,0783219458,0780630874,0767819438,0782008364,0767802624
0780619439,0780619439,0780631528,0780618068,0783237367,0767802772,0783241313,0767816234,0783116926,0783239408,0783243499
0780619552,0780619552,0780623711,0767816234,0788816454,0783233515,0783232063,0783241542,079072880X,0790729369,0767819438
0780619609,0780619609,0783227949,0780607287,0780621964,078401132X,0780656946,0783227434,078060718X,0783227094,0780630858
0780619765,0780619765,0783234066,0767805712,0783240694,0780618068,078062856X,0767827716,0783241607,0780622642,0780623614
0780620003,0780620003,0780621964,0767819594,0780618548,0767817729,0767815335,0782006787,0790729709,078062369X,0767806239
0780621573,0780621573,0780621832,0788861948,0767811070,0783230095,0783239408,0783228317,0784011923,0780022181,078886047X
0780621611,0780621611,0767835069,0767809262,0783216084,078322544X,0780621832,0767806239,0780626702,0780614097,0783230478
0780621832,0780621832,0783230478,0767821556,0780022491,0780022319,0783234287,0767810864,0782010059,0767830520,078881172X
0780621964,0780621964,0783227094,0780630858,078401132X,0780620003,0767834739,0767817478,079072880X,0780623711,0780630874
0780621980,0780621980,076781956X,0767853946,0767832248,0783227388,0783117388,0783226764,0767809270,0783229887,0784011796
0780622383,0780622383,0780630904,0783229887,0783219458,0783234287,0767811100,0773386777,0780626702,0784011524,0767826728
0780622537,0780622537,0782008364,0780613880,0783226004,0767819462,0780656946,0767802497,0767827007,0784011176,0780626702
0780622545,0780622545,0767827678,079072961X,0780020731,0783114885,0783241569,0780622561,0780651359,0788869973,0788858408
0780622561,0780622561,0783241569,078322172X,0783227426,0780622545,0783239408,0783226039,0783230508,0783216084,0783245157
0780622588,0780622588,0767809246,0780023420,0767802497,0788806270,0784013470,0780630866,0783226837,0780613880,0782008364
0780622642,0780622642,0767815335,0783219857,0790729636,0783237413,0767836316,0767827740,0767817443,0780618548,0767819594
0780623134,0780623134,0783235623,076780192X,078322687X,0790729725,0780628799,0784001847,0767819586,0780628551,0767805712
0780623614,0780623614,0780621832,0783230478,0767821556,0783229674,0767851668,0767827716,0780619765,0788816454,0783232063
078062369X,078062369X,0790729601,0783226551,0784013470,078401115X,0767803434,0783241569,0780630866,0783241917,0788815466
0780623711,0780623711,0780619552,0783233515,0788816454,0783232063,0767826728,079072880X,078322365X,0783225814,0780621964
0780623746,0780623746,0783226039,0788809806,0790729687,0783235623,0780626702,0767830520,0005019281,0764005553,0767827716
0780625129,0780625129,0767821556,0767802551,0780626702,0780621832,0767816234,0780631684,0783239408,0767802624,076780922X
0780625218,0780625218,0783229585,0005019281,0767827791,0780618548,0767802551,0780619250,078322947X,0783240325,0767834739
078062565X,078062565X,0784011710,0784011648,078322544X,0780020731,0783236352,078323502X,0780021932,0790729377,0780022491
0780626478,0780626478,0767832248,0767809270,0782008364,0767802683,0780613880,0767819462,0783201672,0767811100,078322687X
0780626702,0780626702,0783236352,0767836286,0783227833,0783235623,0783230435,0783234287,0784011524,0788809806,0767825616
0780626966,0780626966,0767817664,0783226004,0780619412,0780630904,076780161X,076780192X,0780622537,0767726227,0767834739
0780627024,0780627024,0780630459,0783226551,0783231474,0767816617,0767811100,0767851668,0783240287,0788806734,0782009123
0780627415,0780627415,0767802497,0790729393,0780618548,0782008364,0783229887,0767849493,0767809246,078062369X,0783231210
0780627717,0780627717,0767821408,0767802497,078401132X,079072880X,0783114885,0784011796,0790728354,0780621964,0783219105
0780627806,0780627806,0767802551,0783237413,0790729687,0767819438,0782008364,0767817753,078401132X,0783113943,0783221487
0780628519,0780628519,0783226985,0780020685,0783240295,0780618548,0767816617,0767849493,0767826728,0767819438,0783241542
0780628551,0780628551,0783225725,0782008364,0788869973,0767816234,0783240295,0767839129,0783241313,0767805712,0780631684
078062856X,078062856X,0767812182,0780631684,0784011168,0767821785,0783219172,0767821556,0767817656,0780630904,0767809254
0780628799,0780628799,0767832248,0767809270,0767819586,0767802683,0790729660,0780626478,0783225997,0783240295,0780628519
0780629159,0780629159,0783241607,0783227833,0767802624,0767819438,0788802194,0767802802,0767817443,076781956X,0783233078
0780629450,0780629450,0790729644,0767825616,079072880X,0782009980,0783240961,0767811097,0780619250,0784011796,0767851668
0780630459,0780630459,0780627024,0790729636,0783235666,0780618831,0788882988,0310263662,0783225970,0788812408,0783234996
0780630858,0780630858,0780630874,0780630904,0780619412,0780621964,0783219458,0767826728,0780630866,0767833902,0788816454
0780630866,0780630866,0780630874,0780619412,0767811070,0780630904,0783222475,0767802497,078062369X,0790729385,0767833902
0780630874,0780630874,0780630858,0780630904,0780630866,0767817656,0783229887,0764006770,0788869973,0783219172,0767833902
0780630904,0780630904,0780630874,0780630858,0783229887,0767817656,0783219172,0767811097,0780630866,0780622383,0767826728
0780631153,0780631153,0783235690,0767802551,0790729644,0783237367,0788814664,078401132X,0780628799,0780623134,0788869973
0780631528,0780631528,0780619439,0767832248,0767805712,0767835980,0767819586,0780628799,0783241313,0783225873,0767809270
0780631641,0780631641,0767827902,0782008364,0780613880,0783227361,0767819462,0784012148,0783222955,0767830520,0767802497
0780631684,0780631684,0767821556,0767812182,078062856X,0784011168,0780630904,0767821785,0764006770,0767817656,0783243499
0780651359,0780651359,0767812182,079072961X,0767827678,0783219458,0783219105,0767811100,0783114885,0782008364,0767816617
0780656172,0780656172,0783232047,0767835093,078324021X,0783117388,0783240171,0783233493,0767809262,078886047X,076781956X
0780656946,0780656946,0780622537,0783227949,0780619609,0783234996,0767836316,0784011176,0788816454,0783227434,0790701022
0782002064,0782002064,0767830520,0790729377,0767827902,0767824571,0782010059,0788832182,076780922X,0783230435,0783222955
0782006760,0782006760,0783230478,0780621832,0783226837,0780020723,0767821556,0783235593,0780022319,0767825616,0767827791
0782006787,0782006787,0767819764,078321958X,0767806239,0780620003,0790729660,0780614097,078401020X,078062369X,0767805712
0782006795,0782006795,0780021967,0784011524,0788809806,0767821920,0780626702,0783223609,0767835069,0767812166,0767813871
0782006809,0782006809,0783229674,0783226152,0783233469,0783227507,0767020308,0767811097,0783227647,0767003357,0790720434
0782008348,0782008348,0767811070,0764006770,0782009980,0790729377,076780192X,0767849981,0783227434,0783219857,0790729342
0782008364,0782008364,0767819462,0780613880,0780626478,0767809246,0783227361,0767802497,0783227833,0767816234,0780631641
0782008372,0782008372,0782010679,0782008380,0780022181,0783219695,076780161X,0780631641,078062369X,0767803434,0783219172
0782008380,0782008380,0782008372,0780622642,0767811097,0788816454,0767833902,0783113943,0783225814,0788815741,0790729687
0782009123,0782009123,0780627024,0783241909,0790729628,079072880X,0788815474,078062369X,0780622537,0783234287,0767020308
0782009980,0782009980,0782008348,0783226160,0790729652,0783225792,0783235666,0783235690,0783221088,0783225997,0790729385
0782010059,0782010059,0767827902,0767830520,0780621832,0783230478,0783234287,078322592X,0767821556,0788806270,0783222955
078201061X,078201061X,076783917X,0767802497,078324021X,0784011176,0783234996,0790729652,0780631684,078323418X,0780022181
0782010679,0782010679,0783219695,0782008372,0780022181,0780023420,0783240171,0783227833,0783227361,0767817680,0780631528
0783103107,0783103107,0767817443,076780161X,0783226039,0767817478,0767819438,0767811070,0783221487,0788809806,0780620003
0783105533,0783105533,0790725657,0780613880,0767819462,0782008364,0784010528,0783228015,0780626478,0783225482,0780631641
0783107986,0783107986,0780021932,0767802802,0783228457,0783231032,0784010188,0780022319,0788860704,0783221088,0784012148
0783113145,0783113145,0783225970,0783233078,0767809262,0783216084,0780626702,0780621611,0780614097,078322172X,0783226853
0783113196,0783113196,0767836316,078401003X,0767812182,0780628551,0783230478,0783235666,0783225482,0790729601,0783241607
0783113943,0783113943,0767802683,0783223218,0780022343,0783224079,0783227256,0780621980,0767819586,0783243456,0780627415
0783114222,0783114222,0780022343,0783219695,0780022491,0782008380,0790729628,0780619250,078401003X,0767023765,0767803434
0783114583,0783114583,0783241909,0783225792,0784012148,0790729687,0767821408,0783233507,0767816234,0767836286,0788806734
0783114729,0783114729,0783230478,0780621832,0767817680,0780020731,0784010315,0767802551,0784011540,0767821556,0788811355
0783114885,0783114885,0783226985,0767812182,0767821556,0767821785,0767827678,0767809254,079072961X,0767827007,078401020X
0783114893,0783114893,0783237367,0783241569,0783226152,0783221088,0767817664,078322933X,0783228457,0767812778,0790729407
0783114907,0783114907,0783233078,0788814664,0784011648,0780022343,0783239408,0767851013,0773343032,0767827791,0767003357
0783115202,0783115202,0790729636,0790720434,0783227078,0783241593,0783241313,0767849493,0767817753,0783225725,0783231032
0783116640,0783116640,078881107X,0767819764,0783241909,0767811100,0788828126,0783241038,0783228015,0780023420,0780618548
0783116926,0783116926,0783219172,0780619439,0764006770,0780630904,0788869973,0790705141,0767802497,0783116934,0783229887
0783116934,0783116934,0767827902,0780020715,0780018664,0783240953,0767817664,078322933X,0767839277,0767809688,0767806239
0783117388,0783117388,076781956X,0767853946,0780621980,0783235690,0767825616,0783233493,0783241593,0790705141,0783216084
0783201672,0783201672,0767832248,0780023420,0767809270,0780626478,0767802683,0767819586,0767817486,0767812182,0780628799
0783204914,0783204914,0784011524,0788809806,0767817710,0783223609,0767821920,0767835069,0767825616,0767803434,0767802594
0783208227,0783208227,0783237979,0767832248,076783917X,0767821408,0767806808,0767827007,0783241593,0780628519,0784012644
0783211856,0783211856,0783245157,0784011710,0780020723,0783233078,0790729717,0780020715,0788860704,078401020X,0767824407
0783214243,0783214243,0767827007,0783219105,0767811070,0767817656,0767853946,0783230508,0788816454,0780630858,0783225970
0783215126,0783215126,0767802470,0780621832,0783230478,0767821556,0767002652,0780022319,0767824555,0783234287,0767810864
0783216084,0783216084,0767809262,0780621611,0782008364,078322172X,0780614097,0790705141,0780626702,0783117388,0783225199
0783217048,0783217048,0767816617,0767811100,0783227388,0783233515,0788869973,0767825616,0767827902,0783227884,0783233078
0783219105,0783219105,0738920762,0783225504,0783214243,0780651359,0788816454,0767811070,079072880X,078401020X,0783114885
0783219172,0783219172,0780630904,0764006770,0767817656,0783229887,078062856X,0780630874,0784011168,0780631684,0783227434
0783219458,0783219458,0767802624,0780630858,0767811100,0780651359,0780622383,0780619412,0767816617,0780630874,0782008364
078321958X,078321958X,0782006787,078322365X,0783240961,0767805267,0767802551,0767819764,0783225997,0783225725,0790729644
0783219598,0783219598,0780626702,0767805267,0767827740,0780020723,0767805712,0783231032,076780922X,0784011176,0780625129
0783219695,0783219695,0782010679,0767825616,0767811070,0764006770,0782008372,0783237367,0767816617,0790729369,0767811100
0783219806,0783219806,0783230494,0788816454,0783105533,0767817443,0780618556,0788811002,0783214243,0783235666,0783230095
